NAME,CATEGORY,STREET ADDRESS,ADDRESS,CITY,ZIP CODE,COUNTRY NAME,COUNTRY CODE,PHONE,EMAIL,WEBSITE,FACEBOOK,INSTAGRAM,LINKEDIN,TWITTER,URL,BOOKING LINK,SCORE,RATINGS,OPENING HOURS,MAIN IMAGE URL,DESCRIPTION,POI
East Glos Club,"Sports club, Padel club, Padel court, Pickleball court, Racketball Club, Squash club, Squash court, Table tennis club, Tennis club, Tennis court",Old Bath Rd,"Old Bath Rd, Cheltenham GL53 7DF",Cheltenham,GL53 7DF,United Kingdom,GB,01242230562,,https://www.eastglos.co.uk/,https://www.facebook.com/eastglos,https://www.instagram.com/eastglos,https://www.linkedin.com/company/eastglos,,https://www.google.com/maps?cid=17251636073851202439,,4.6,128,"Monday: 9am-7:45pm, Tuesday: 9am-7:45pm, Wednesday: 9am-7:45pm, Thursday: 9am-7:45pm, Friday: 9am-7:45pm, Saturday: 9am-4pm, Sunday: 9am-4pm",https://lh3.googleusercontent.com/p/AF1QipPRIxVUBsUwb2NKXMkeOy6Mhx8F6MsddkN1U0tX,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Toilet, Wi-Fi, On-site parking"
East Grinstead Padel,Sports club,Saint Hill Rd,"Saint Hill Rd, East Grinstead RH19 4JU",East Grinstead,RH19 4JU,United Kingdom,GB,01342332777,play@eastgrinsteadpadel.com,https://www.eastgrinsteadpadel.com/,https://www.facebook.com/profile.php,https://www.instagram.com/eastgrinsteadpadel,,,https://www.google.com/maps?cid=4033512852557548889,,5,4,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-10pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Toilet"
East London Pickleball,Sports club,High Rd,"High Rd, Chigwell IG7 6QF",Chigwell,IG7 6QF,United Kingdom,GB,,eastlondon.pickleball@gmail.com,https://eastlondonpickleball.co.uk/,,,,,https://www.google.com/maps?cid=15104881940069384621,,,,"Monday: Closed, Tuesday: 7-9pm, Wednesday: Closed, Thursday: 7-9pm, Friday: Closed, Saturday: Closed, Sunday: Closed",https://lh3.googleusercontent.com/p/AF1QipPeaQUL7b1PuywpzeaOiOflQvEE-lLR2ujgLWef,,"Wheelchair-accessible car park, Gender-neutral toilets, Toilet, Swimming pool, Membership required, Free parking lot, On-site parking"
Eat Sleep Padel,Padel court,"Unit 2A, Discovery Trade Park, Whisby Rd","Unit 2A, Discovery Trade Park, Whisby Rd, North Hykeham, Lincoln LN6 3AN",Lincoln,LN6 3AN,United Kingdom,GB,07745440445,ben@eatsleeppadel.co.uk,http://www.eatsleeppadel.co.uk/,,,,,https://www.google.com/maps?cid=16428040126373034160,,5,9,"Monday: 4:30am-12am, Tuesday: 4:30am-12am, Wednesday: 4:30am-12am, Thursday: 4:30am-12am, Friday: 4:30am-12am, Saturday: 4:30am-12am, Sunday: 4:30am-12am",https://lh3.googleusercontent.com/p/AF1QipNnPLlbKv_8dTRk6Zb1xllExdl45PDMhfqoKjHz,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Gender-neutral toilets, Credit cards, Debit cards, On-site parking"
Ecclesall Lawn Tennis Club Padel Court,Padel court,Bartin Cl,"Bartin Cl, Sheffield S11 9HP",Sheffield,S11 9HP,United Kingdom,GB,,,https://clubspark.lta.org.uk/EcclesallLawnTennisClub,,,,,https://www.google.com/maps?cid=6333724073974314981,,5,6,"Monday: 9am-9pm, Tuesday: 9am-9pm, Wednesday: 9am-9pm, Thursday: 9am-9pm, Friday: 9am-9pm, Saturday: 9am-9pm, Sunday: 9am-9pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUxF6_4-Fog9GWu52v3pMYt9ho4n5g37QgrwBrzGgCpe3WSB5kEfzBhrk-CrnxKIjIJTmhlXULIj_DaLZgyiygIPjQJjuVcPK1369W26cCvlfXpV0i2exouhVAyesJIkmyHmfL,,"Wheelchair-accessible car park, Credit cards, Debit cards"
Eco-Padel,Padel club,50 Store St,"50 Store St, Manchester M1 2FS",Manchester,M1 2FS,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=6369497169351647394,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,Toilet
Eixo Padel,"Padel court, Padel club","Unit 34, Neaves Park Gatehouse Hub","Unit 34, Neaves Park Gatehouse Hub, Goddards Green, Hassocks BN6 9ZN",Hassocks,BN6 9ZN,United Kingdom,GB,01273457713,,https://eixopadel.com/,,,,,https://www.google.com/maps?cid=2511442726540406171,,,,,https://lh3.googleusercontent.com/p/AF1QipPww2ZvoxeyBm6Vh7WJM1dqXWHi0r4WxD9aGlOx,,"On-site services, Wheelchair-accessible car park, Free parking lot, On-site parking"
Elevate Padel Society,Sports club,"Rutland Sports Park, W End Dr","Rutland Sports Park, W End Dr, Ilkeston DE7 5GH",Ilkeston,DE7 5GH,United Kingdom,GB,07438161645,contact@elevatepadelsociety.co.uk,https://www.elevatepadelsociety.co.uk/,https://www.facebook.com/elevatepadelsociety,https://www.instagram.com/elevatepadelsociety,,,https://www.google.com/maps?cid=8106138416287603236,,,,,https://lh3.googleusercontent.com/p/AF1QipNr8nW2N5ojqUBcIUoU4ZTl6DBwThL17AKuZZ5Q,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Toilet, Wi-Fi, Free parking lot, On-site parking"
Elkstone Studios,"Padel court, Co-working Space, Farm shop, Gym, Events Venue, Playground, Wellness Centre",,"Elkstone, Studios GL53 9PQ",Studios,GL53 9PQ,United Kingdom,GB,01285821688,info@elkstone-studios.com,http://www.elkstone-studios.com/,https://www.facebook.com/elkstonestudios,https://www.instagram.com/elkstonestudios/,,,https://www.google.com/maps?cid=9038665688417904197,https://thewheelhouses.com/shared-office-space-elkstone/,4.8,31,"Monday: 9am-5pm, Tuesday: 9am-5pm, Wednesday: 9am-5pm, Thursday: 9am-5pm, Friday: 9am-5pm, Saturday: 9am-5pm, Sunday: 9am-5pm",https://lh3.googleusercontent.com/p/AF1QipM8KXtZkxFNL9P99JHpR4NpfSwGpjhYkbBxZNkM,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Gender-neutral toilets, Toilet, Credit cards, Debit cards, NFC mobile payments, Kid-friendly activities, Free parking lot, On-site parking"
Ember Ct Padel,Sports club,145 Ember Ln,"145 Ember Ln, Molesey, Esher KT10 8EJ",Esher,KT10 8EJ,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=3352605783477664817,,,,,,,Toilet
En Tout Cas Padel,"Construction Company, Service establishment",,,,,,,01832274199,,https://www.entoutcaspadel.co.uk/,,,,,https://www.google.com/maps?cid=10206588468972091286,,,,"Monday: 8am-5pm, Tuesday: 8am-5pm, Wednesday: 8am-5pm, Thursday: 8am-5pm, Friday: 8am-5pm, Saturday: Closed, Sunday: Closed",,,
England Tennis Club - Padel,Sports club,Ember Ln,"Ember Ln, Molesey, East Molesey KT8 0BT",East Molesey,KT8 0BT,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=3093318947173572615,,5,2,"Monday: 6am-10:30pm, Tuesday: 6am-10:30pm, Wednesday: 6am-10:30pm, Thursday: 6am-10:30pm, Friday: 6am-10:30pm, Saturday: 6am-10:30pm, Sunday: 6am-10:30pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2g406nDbjhROVRXsdYPPKISbyj8yfNttSjKQ6dE_Dtnz_Q8QWdBZmBb1CiQ5xpYqSaEBnpfrL_Dt73Mj-3aQNnVpJyZACugiCwDqUEj_oUgbOP6O-mjowl42EEbXnysa3YmBY0Wo1X7U,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
Esher Tennis & Padel,"Tennis club, Sports club",7 Milbourne Ln,"7 Milbourne Ln, Esher KT10 9DU",Esher,KT10 9DU,United Kingdom,GB,07385871035,hello@eshertennis.co.uk,http://www.eshertennis.co.uk/,https://www.facebook.com/eshertennisclub,https://www.instagram.com/eshertennis,,https://twitter.com/eshertennis,https://www.google.com/maps?cid=3978855164549615515,,4.4,39,"Monday: 6am-10:30pm, Tuesday: 6am-10:30pm, Wednesday: 6am-10:30pm, Thursday: 6am-10:30pm, Friday: 6am-10:30pm, Saturday: 6am-10:30pm, Sunday: 6am-10:30pm",https://lh3.googleusercontent.com/p/AF1QipO-YMNZeX-jT_sgEfYsSSKy7fztQdoMzgXzsjQF,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
Essendon Padel Club,Padel club,Park,"Park, Essendon, Bedwell AL9 6HN",Bedwell,AL9 6HN,United Kingdom,GB,07547720242,,https://playtomic.com/clubs/essendon-country-club-uk,https://www.facebook.com/playtomic.io,,https://www.linkedin.com/company/playtomic,,https://www.google.com/maps?cid=1342979447326546050,https://playtomic.com/clubs/essendon-country-club-uk,5,7,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://lh3.googleusercontent.com/p/AF1QipOZ2fe5gyB9f33ISzt7O2aR78GMHX43hhQBqm8,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Gender-neutral toilets, Toilet, Wi-Fi, Free parking lot, On-site parking"
EverythingPadel,"Sporting Goods Shop, E-commerce service, Sportswear Shop","Endeavour House, Holloway Rd","Endeavour House, Holloway Rd, Heybridge, Maldon CM9 4ER",Maldon,CM9 4ER,United Kingdom,GB,07432442734,info@everythingpadel.co.uk,http://everythingpadel.co.uk/,"https://www.facebook.com/profile.php, https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand","https://www.instagram.com/everythingpadel, https://www.instagram.com/whatsapp/",,https://x.com/whatsapp,https://www.google.com/maps?cid=6193554456544053779,http://www.everythingpadel.co.uk/,5,296,"Monday: Closed, Tuesday: 11am-5pm, Wednesday: 11am-5pm, Thursday: 11am-5pm, Friday: Closed, Saturday: Closed, Sunday: Closed",https://lh3.googleusercontent.com/p/AF1QipM-XqAOJPK6cQeWZt9EtAp2bQ7ClZ6xs2coJEZC,,"Delivery, On-site services, Wheelchair-accessible car park, LGBTQ+ friendly, Quick visit, Credit cards, Debit cards, NFC mobile payments, On-site parking"
Evesham Leisure Centre,"Leisure centre, Badminton court, Basketball court, Gym, Pickleball court, Spa, Swimming pool, Table tennis facility","Leisure Centre, Abbey Rd","Leisure Centre, Abbey Rd, Evesham WR11 4SU",Evesham,WR11 4SU,United Kingdom,GB,01386444212,info@riversfitness.co.uk,http://www.riversfitness.co.uk/evesham,https://www.facebook.com/pcptpaulcoxpersonaltraining,"https://www.instagram.com/riversbeauty_, https://www.instagram.com/riversfitness",,https://x.com/riversfitness,https://www.google.com/maps?cid=12395344990916016664,,4.4,419,"Monday: 6:30am-9:30pm, Tuesday: 6:30am-9:30pm, Wednesday: 6:30am-9:30pm, Thursday: 6:30am-9:30pm, Friday: 6:30am-9:30pm, Saturday: 8am-7pm, Sunday: 8am-7pm",https://lh3.googleusercontent.com/p/AF1QipM8G15YrqMi67LJ36qecaAMhC9U3govO0i9Fm4_,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, On-site parking"
Exeter Pickleball Club,Pickleball court,Wonford Sports Centre,"Wonford Sports Centre, Wonford, Exeter EX2 6NF",Exeter,EX2 6NF,United Kingdom,GB,01392253453,exeterpickleballclub@gmail.com,https://www.exeterpickleballclub.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13746536989079945070,https://www.facebook.com/,https://www.instagram.com/exeterpickleballclub,,,https://www.google.com/maps?cid=8950258163398944927,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,
Finsbury Leisure Centre,"Leisure centre, Badminton court, Basketball court, Fitness centre, Function room facility, Indoor playground, Pickleball court, Football pitch, Squash court, Table tennis facility",Norman St,"Norman St, London EC1V 3PU",London,EC1V 3PU,United Kingdom,GB,02072501303,finsburyleisurecentre@gll.org,https://www.better.org.uk/leisure-centre/london/islington/finsbury?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,https://www.facebook.com/betteruk/,https://www.instagram.com/better_uk/,,"https://x.com/gll_uk, https://twitter.com/better_uk",https://www.google.com/maps?cid=9948233152161423292,,4.1,484,"Monday: 9am-10pm, Tuesday: 9am-10pm, Wednesday: 9am-10pm, Thursday: 9am-10pm, Friday: 9am-10pm, Saturday: 9am-6pm, Sunday: 9am-6pm",https://lh3.googleusercontent.com/p/AF1QipNjEsQJTMHkLomr4FERVVPeca4szcwp-zCpX3ZS,,
Formby Lawn Tennis Club,"Tennis club, Padel club, Padel court, Tennis instructor",90 Gores Ln,"90 Gores Ln, Formby, Liverpool L37 7DF",Liverpool,L37 7DF,United Kingdom,GB,01704872906,,http://www.formbyltc.co.uk/,,,,,https://www.google.com/maps?cid=761418097720790588,,4.7,17,"Monday: 9am-10pm, Tuesday: 9am-10pm, Wednesday: 9am-10pm, Thursday: 9am-10pm, Friday: 9am-10pm, Saturday: 9am-10pm, Sunday: 9am-10pm",https://lh3.googleusercontent.com/p/AF1QipO4FQGjvLrIwbaJ9LHoPh-4rO33AA2eq5iYZuy1,,"Identifies as women-owned, On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet, Wi-Fi, Membership required, Free parking lot"
Formby Village Padel Club,"Padel club, Sports club, Tennis club","Sports Club, Behind Church Hall, Rosemary Ln","Sports Club, Behind Church Hall, Rosemary Ln, Formby, Liverpool L37 3HA",Liverpool,L37 3HA,United Kingdom,GB,,enquiries@formbyvillagepadel.com,https://www.formbyvillagepadel.com/,https://www.facebook.com/formbyvillagepadel,,,,https://www.google.com/maps?cid=13830608478505624955,,5,1,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-10pm",https://lh3.googleusercontent.com/p/AF1QipNT5dS_Jl9l14n2NmhY_2CI0o2TPwDQ0UW9YN-Q,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Wheelchair-accessible seating (no), Toilet"
Frindsbury Tennis and Padel Club,Padel club,"Frog Island, Upnor Rd","Frog Island, Upnor Rd, Rochester ME2 4UX",Rochester,ME2 4UX,United Kingdom,GB,07418610633,,http://frindsburytpc.co.uk/,,,,,https://www.google.com/maps?cid=10339550722981989845,,4.7,48,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHXBYfjERYx569ImL5a9c-vzi-IauarwzVBTuDZ2c6sb76tn8BRXnBy1vTfa2o3LDOZBqzOax_yLMXiHXHDEf8aQOxD8o-lf1AD5K0rYSNnkxO5izn0YnSryN1hrUqQFGmp9Xl,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Toilet"
Fuerza Padel,Sporting Goods Shop,1 Dean St,"1 Dean St, London W1D 3RB",London,W1D 3RB,United Kingdom,GB,,,https://fuerzapadel.shop/,,,,,https://www.google.com/maps?cid=8744912364964371967,,,,,https://lh3.googleusercontent.com/p/AF1QipOPlHL0sAL78sIU8OG_cvrm8j7LC3BgObJNnqli,,"Credit cards, Debit cards, NFC mobile payments"
Game Set Match (Pickleball and Tennis),Sports club,Middleton Grove,"Middleton Grove, Belle Isle, Leeds LS11 5DJ",Leeds,LS11 5DJ,United Kingdom,GB,07737358270,,https://clubspark.lta.org.uk/GameSetMatch,,,,,https://www.google.com/maps?cid=3842274768734516062,,5,23,"Monday: 12-2pm / 7-9pm, Tuesday: Closed, Wednesday: 5-9pm, Thursday: 12-2pm, Friday: Closed, Saturday: Closed, Sunday: Closed",https://lh3.googleusercontent.com/p/AF1QipMz8aEmSGEGDbXp4rZ6hwI44vXWPFoi7XfIKPfy,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Toilet, LGBTQ+ friendly, Transgender safe space, Free parking lot"
Game4Padel,Padel court,Stockton Ln,"Stockton Ln, Grappenhall, Warrington WA4 3DR",Warrington,,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/grappenhall-village,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=3792293867447999518,,,,"Monday: 8-10am, Tuesday: 8-10am, Wednesday: 8-10am, Thursday: 8-10am, Friday: 8-10am, Saturday: 8-10am, Sunday: 8-10am",,,
Game4Padel | Bloom Heathrow,Padel club,Bloom Heathrow,"Bloom Heathrow, Feltham TW14 8HA",Feltham,TW14 8HA,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/bloom-heathrow,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=371730320372957486,,3.3,6,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://lh3.googleusercontent.com/p/AF1QipOGNhkQStb1ZVIvuOpWyOr79igHdXbMMzgpKqs,,"Wheelchair-accessible car park, Toilet"
Game4Padel | Broxbourne Sports Club,Padel court,"Broxbourne Padel, Mill Ln","Broxbourne Padel, Mill Ln, Broxbourne EN10 7BQ",Broxbourne,EN10 7BQ,United Kingdom,GB,01992466901,,https://www.game4padel.com/england-venues/broxbourne-sports-club,,,,,https://www.google.com/maps?cid=4945717003655241292,,4.7,3,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-10pm",https://lh3.googleusercontent.com/p/AF1QipPfZjYTPJp7alt_--Aa-WPaN8jHRbf-rFyoZh6k,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Debit cards"
Game4Padel | Chesham 1879,Padel court,Pednormead End,"Pednormead End, Chesham HP5 2JU",Chesham,HP5 2JU,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/chesham-1879,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=3734834002355838176,,5,4,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-5pm",https://lh3.googleusercontent.com/p/AF1QipORXWlypa0DoXTVUOc1Frt-oR4kAuMCYp19IW98,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments"
Game4Padel | Heron Tennis Newquay,Padel court,"Heron Padel, Edgcumbe Ave","Heron Padel, Edgcumbe Ave, Newquay TR7 2LZ",Newquay,TR7 2LZ,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/heron-tennis,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=2169022726011509602,,5,1,"Monday: 9am-10pm, Tuesday: 7am-10pm, Wednesday: 9am-10pm, Thursday: 9am-10pm, Friday: 9am-10pm, Saturday: 8am-4pm, Sunday: 9am-4pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards"
Game4Padel | Huddersfield LTSC,Padel court,"Huddersfield Padel, Cemetery Rd","Huddersfield Padel, Cemetery Rd, Huddersfield HD1 5NF",Huddersfield,HD1 5NF,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/huddersfield-ltsc,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=14075283933435998002,,4.7,3,"Monday: 9am-10pm, Tuesday: 9am-10pm, Wednesday: 9am-10pm, Thursday: 9am-10pm, Friday: 9am-10pm, Saturday: 9am-7pm, Sunday: 9am-7pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments"
Game4Padel | Parkside Padel Club,Padel court,1 Seva Dr,"1 Seva Dr, Southall UB1 1GH",Southall,UB1 1GH,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/parkside-padel,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=1158020577130089747,,3.5,25,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-10pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzSRmsJ31xaAaUp6prgAXJFuC7SgKco3tS_AyqKzKQxjztB_9_kfegTFtW5n8ueKsRbHbujPq-iWSR7Eem2kCdzSGDmoVyUEVLJ8RksGsfcKxBq-k7qrEgJQPjVGOtDfnrL1mdjZzksXeOD,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments"
Game4Padel St Ives,Sports club,Needingworth Road,"Needingworth Road, St. Ives PE27 4AD",St. Ives,,United Kingdom,GB,,info@game4padel.com,https://www.game4padel.com/st-ives-golf-club,https://www.facebook.com/game4padel,https://www.instagram.com/game4padel,,,https://www.google.com/maps?cid=9847015749748268060,,5,1,"Monday: 7am-9pm, Tuesday: 7am-9pm, Wednesday: 7am-9pm, Thursday: 7am-9pm, Friday: 7am-9pm, Saturday: 7am-9pm, Sunday: 7am-9pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyeiyTVghe7_b7vYS_yFJ8lkzKKmQBBk49Zd6Dc5rEgw911ZpWyyzCJV53JBWvml5UoUgBxKVNM7phLiz5lzBoxWTG17dnnZ5OVAVdVwsBa9kKG0Bv7Zt_xpJh_2r4B6qm7KIs7,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
Georgians Padel,Padel club,Crouch End Playing Fields,"Crouch End Playing Fields, London N8 8JJ",London,N8 8JJ,United Kingdom,GB,,info@georgianspadel.com,https://www.georgianspadel.com/,,https://www.instagram.com/georgianspadel,,,https://www.google.com/maps?cid=8785928154986742064,,4.9,8,"Monday: 7am-10pm, Tuesday: 7am-10pm, Wednesday: 7am-10pm, Thursday: 7am-10pm, Friday: 7am-10pm, Saturday: 7am-10pm, Sunday: 7am-10pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzexafwayAcsuKuaEbwOA2tBsIvxZhjQgucVu6hzsioex32xXAlhkTyZAUK2fOVrvT_6umEPth7YLrqdyActpTAJyuxxKDBQ0K0Xu18XTHbef5ZVq0OAIcpjoFWPAJOra-N_EHtwvFd7rQ,,Toilet
Gosfield Pickleball Club,Sports club,Halstead Rd,"Halstead Rd, Gosfield, Halstead CO9 1PF",Halstead,CO9 1PF,United Kingdom,GB,07713911200,,,,,,,https://www.google.com/maps?cid=17482497673424535526,,,,"Monday: 6:30-8:30pm, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: 7-9pm, Saturday: Closed, Sunday: Closed",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
GSM Padel,Sports club,"Bracken Barn, Holmes Chapel Rd","Bracken Barn, Holmes Chapel Rd, Congleton CW12 4SN",Congleton,CW12 4SN,United Kingdom,GB,,info@gsmpadel.co.uk,https://www.gsmpadel.co.uk/,https://www.facebook.com/profile.php,https://www.instagram.com/gsmpadeluk,https://www.linkedin.com/company/gsm-padel-ltd,,https://www.google.com/maps?cid=5412477866430723003,,,,"Monday: 6am-10pm, Tuesday: 6am-10pm, Wednesday: 6am-10pm, Thursday: 6am-10pm, Friday: 6am-10pm, Saturday: 7am-9pm, Sunday: 7am-9pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"On-site services, Wheelchair-accessible car park"
Gunnersbury Park Sports Hub,"Sports complex, Badminton court, Basketball court, Cricket ground, Fitness centre, Gym, Pickleball court, Rugby field, Football pitch, Tennis court","Gunnersbury Park, Popes Ln","Gunnersbury Park, Popes Ln, London W3 8LQ",London,W3 8LQ,United Kingdom,GB,02080769940,info@visitgunnersbury.org,https://www.better.org.uk/leisure-centre/london/gunnersbury-park/gunnersbury-park-sports?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,"https://www.facebook.com/gunnersbury1, https://www.facebook.com/betteruk/","https://www.instagram.com/gunnersburyparkmuseum, https://www.instagram.com/better_uk/",,"https://twitter.com/better_uk, https://x.com/gunnersbury1, https://x.com/gll_uk",https://www.google.com/maps?cid=11822202037230711058,,4.5,299,"Monday: 6:30am-10pm, Tuesday: 6:30am-10pm, Wednesday: 6:30am-10pm, Thursday: 6:30am-10pm, Friday: 6:30am-10pm, Saturday: 8am-8pm, Sunday: 8am-8pm",https://lh3.googleusercontent.com/p/AF1QipMMBQ6ZPrEoQUVYdc0TG4a31P9kTPQ4PwiWSRdw,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, LGBTQ+ friendly, Transgender safe space, Credit cards, Debit cards, NFC mobile payments, Paid parking lot"
Halesworth Tennis Club,"Tennis court, Pickleball court, Tennis club","Dairy Hill, Bungay Rd","Dairy Hill, Bungay Rd, Halesworth IP19 8JS",Halesworth,IP19 8JS,United Kingdom,GB,07940802248,,http://www.halesworthtennisclub.co.uk/,,,,,https://www.google.com/maps?cid=12709158887373221568,,,,"Monday: 9am-9pm, Tuesday: 9am-9pm, Wednesday: 9am-9pm, Thursday: 9am-9pm, Friday: 9am-9pm, Saturday: 9am-9pm, Sunday: 9am-9pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet, On-site parking"
Hamptworth Golf,"Golf club, Bar, Croquet club, Event Planning Service, Events Venue, Padel court, Restaurant, Wedding chapel, Wedding planner, Wedding venue",Hamptworth Rd,"Hamptworth Rd, Hamptworth, Salisbury SP5 2DU",Salisbury,SP5 2DU,United Kingdom,GB,01794390155,,http://www.hamptworthgolf.co.uk/,https://www.facebook.com/hamptworthgolf,https://www.instagram.com/hamptworthgolf,,,https://www.google.com/maps?cid=8347737666874561340,,4.7,229,"Monday: 7am-8pm, Tuesday: 7am-8pm, Wednesday: 7am-8pm, Thursday: 7am-8pm, Friday: 7am-8pm, Saturday: 7am-8pm, Sunday: 7am-8pm",https://lh3.googleusercontent.com/p/AF1QipPlG2crPgO-Sk-hcsG0HGsuubys4rVmA_6agsC4,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Food, Gender-neutral toilets, Toilet, LGBTQ+ friendly, Transgender safe space, Credit cards, Debit cards, NFC mobile payments, Credit cards, Free of charge street parking, Free parking lot"
